user_id,num_unique_apps,num_sessions,avg_session_duration,total_usage_minutes,morning_ratio,afternoon_ratio,evening_ratio,night_ratio,browser_search_ratio,social_media_ratio,email_ratio,entertainment_ratio,navigation_transport_ratio,productivity_ratio,other_ratio,total_events,events_per_session,events_per_minute,app_diversity
0,0.4466153240723446,-0.04155700311904638,-0.4724251213743801,-0.2047597935446797,3.271494990128367,-0.5434575967056122,-1.5764407413569475,-0.888620753423576,-0.93607888636807,-0.8681946118915567,-0.7683352575501485,-0.6300869266999869,-0.16436882549081297,-0.4719144863344558,1.9449566217554475,-0.12787505707217459,-0.08919145056076574,0.3421216241326882,-2.0680043212559647
1,0.29191582866413035,-0.35757413866738924,0.315070009471632,-0.32711429196550956,1.1449930106490602,-0.2657609809363417,-0.16671667796862907,-0.5320914466882279,-0.22936159711205628,0.14157035981226104,-0.9418760845750351,1.0881660623250935,-0.38416276380965,-0.4787521442008266,0.14280924018959848,-0.4242688997274127,-0.35699522417572777,-0.5998542641351092,1.1297536549136724
2,-0.017483162152298243,-0.4112763969958658,-0.7256260468520748,-0.4140017078886914,0.1926910022471981,-0.6743698605422417,-0.9739793183386337,1.1699817268936525,0.22204557521968693,0.18505754982225,2.6898659593688596,-0.468521127304133,-0.23437845480260036,-0.4787521442008266,-0.8318204673979898,-0.45265085556955065,-0.39472977567709605,-0.3693156735749495,0.3020885353656732
3,-0.17218265756051251,-0.39062168225414406,-0.8208562693044853,-0.41368957906618925,1.9541125553937144,-1.1485949228338324,-0.5267532677750466,-0.11652394792373362,0.31401502375561596,-0.9350990807243071,-0.484872036430246,-0.20843197596013285,-0.0024854025283030387,0.3405368998476622,0.6634271233875606,-0.4628699564072262,-0.49219171794240324,-0.5380969007284987,0.29540336399417066
4,-1.2550791254180125,-0.4463894120567928,-1.2649807127446997,-0.4534744436084498,-0.5816475765405057,0.09950205519038936,0.8215854439847848,-0.248699577148219,1.0362664574822713,-0.9350990807243071,2.1573051633718716,-0.6365178543824843,0.542349583241382,-0.4787521442008266,-0.5031948578921815,-0.4598361608460413,-0.3438019452668218,0.4206696062221074,-0.08238904061030669
5,2.4577087643791304,2.5010383815869015,1.458705858223816,3.496608287769913,1.1748848142663848,-1.0946906597277999,0.08458220184963883,-0.0145820571608544,-1.158027472359158,3.0545446743542266,-0.7853309889837156,-0.14904132765402575,-0.34564681560434735,0.170017079449376,-1.381424471838121,4.533831251226999,0.6466839418199745,0.2564225957165526,-1.8204918349046133
6,1.0654133057052018,1.3113268124637285,1.1956951829147868,1.8812433685440042,-0.18943524589547434,-0.8915781327273055,0.5974824171006721,0.48458417489397676,-0.8555475461864338,-0.36431169827300175,0.18889947414695984,-0.3298536078574189,-0.2924673771662603,1.7534632632790226,1.0213371719772475,1.2069550714865471,0.05229718439570359,-0.3431953432052342,0.6410838713783175
7,0.9107138102969875,-0.413341868470038,2.0489782551849176,-0.2757806609906706,-0.2592540843585551,-0.7378020443387228,1.8429330248676286,-0.5261635075749533,1.128920048825027,-0.28274381443491825,-0.2744032436960108,-0.11770443252286979,-0.2774160277525897,-0.20718228628536617,-0.6399832916800707,-0.20020713018884684,1.2343044896258002,0.46552040161590336,1.174219091370601
8,-0.7909806391933697,-0.5207463851269911,2.4255504079526147,-0.4482202750963309,-0.8010302197675345,0.08489050048916219,-1.9402358761789813,1.9967639152035441,-0.6544909833979826,-0.7238408866040325,-0.9418760845750351,-0.18977795444228734,-0.38416276380965,1.6587226243502589,1.4000111950431817,-0.4858629332919962,-0.07226171608921811,-0.6735997675404638,-0.8937489014317342
9,0.6013148194805589,0.020407141106118888,-0.4359316028456142,-0.11424243501906592,-0.33895771170324784,0.9016506451577928,0.3385580470786647,-0.7815579139775986,-0.11369493315391803,-0.9350990807243071,0.18066314705659903,-0.28808265491279855,-0.08506304021429359,0.25499885367846187,0.9226632920959148,0.20755894425199592,0.32945416416092066,0.9844804741536934,0.44039471322155543
